waktu,kecepatan,status,kena_speedbump,catatan
2025-06-04T00:51:24,28.48,Aman,YA,Mobil lambat kena speedbump
2025-06-04T00:51:25,29.4,Aman,TIDAK,Normal
2025-06-04T00:51:25,30.94,Terlalu Cepat,TIDAK,Mobil cepat lolos
2025-06-04T00:51:26,29.69,Aman,YA,Mobil lambat kena speedbump
2025-06-04T00:51:26,29.03,Aman,YA,Mobil lambat kena speedbump
2025-06-04T00:51:27,30.38,Terlalu Cepat,TIDAK,Mobil cepat lolos
2025-06-04T00:51:27,30.33,Terlalu Cepat,YA,Normal
2025-06-04T00:51:28,29.56,Aman,YA,Mobil lambat kena speedbump
2025-06-04T00:51:28,30.11,Terlalu Cepat,YA,Normal
2025-06-04T00:51:29,31.15,Terlalu Cepat,TIDAK,Mobil cepat lolos
2025-06-04T00:51:29,30.99,Terlalu Cepat,YA,Normal
2025-06-04T00:51:30,29.46,Aman,YA,Mobil lambat kena speedbump
2025-06-04T00:51:30,30.36,Terlalu Cepat,YA,Normal
2025-06-04T00:51:31,29.04,Aman,YA,Mobil lambat kena speedbump
2025-06-04T00:51:31,30.64,Terlalu Cepat,YA,Normal
2025-06-04T00:51:31,31.22,Terlalu Cepat,YA,Normal
2025-06-04T00:51:34,31.41,Terlalu Cepat,YA,Normal
2025-06-04T00:51:34,29.85,Aman,YA,Mobil lambat kena speedbump
2025-06-04T00:51:34,29.85,Aman,YA,Mobil lambat kena speedbump
2025-06-04T00:51:34,31.14,Terlalu Cepat,TIDAK,Mobil cepat lolos
2025-06-04T00:51:35,29.88,Aman,TIDAK,Normal
2025-06-04T00:51:35,29.91,Aman,TIDAK,Normal
2025-06-04T00:51:37,29.85,Aman,TIDAK,Normal
2025-06-04T00:51:37,29.62,Aman,YA,Mobil lambat kena speedbump
2025-06-04T00:51:38,28.9,Aman,YA,Mobil lambat kena speedbump
2025-06-04T00:51:38,30.36,Terlalu Cepat,YA,Normal
2025-06-04T00:51:38,29.46,Aman,YA,Mobil lambat kena speedbump
2025-06-04T00:51:38,29.46,Aman,YA,Mobil lambat kena speedbump
2025-06-04T00:51:38,31.01,Terlalu Cepat,YA,Normal
2025-06-04T00:51:39,29.63,Aman,YA,Mobil lambat kena speedbump
2025-06-04T00:51:40,30.47,Terlalu Cepat,YA,Normal
2025-06-04T00:51:41,30.02,Terlalu Cepat,YA,Normal
2025-06-04T00:51:43,29.44,Aman,TIDAK,Normal
2025-06-04T00:51:43,29.44,Aman,TIDAK,Normal
2025-06-04T00:51:43,30.96,Terlalu Cepat,TIDAK,Mobil cepat lolos
2025-06-04T00:51:43,30.98,Terlalu Cepat,TIDAK,Mobil cepat lolos
2025-06-04T00:51:44,30.02,Terlalu Cepat,YA,Normal
2025-06-04T00:51:45,30.18,Terlalu Cepat,YA,Normal
2025-06-04T00:51:45,29.75,Aman,YA,Mobil lambat kena speedbump
2025-06-04T00:51:45,31.3,Terlalu Cepat,TIDAK,Mobil cepat lolos
2025-06-04T00:51:45,31.3,Terlalu Cepat,TIDAK,Mobil cepat lolos
2025-06-04T00:51:46,30.0,Aman,TIDAK,Normal
2025-06-04T00:51:47,31.6,Terlalu Cepat,TIDAK,Mobil cepat lolos
2025-06-04T00:51:47,30.02,Terlalu Cepat,TIDAK,Mobil cepat lolos
2025-06-04T00:51:48,30.44,Terlalu Cepat,TIDAK,Mobil cepat lolos
2025-06-04T00:51:50,30.43,Terlalu Cepat,YA,Normal
2025-06-04T00:51:50,29.46,Aman,YA,Mobil lambat kena speedbump
2025-06-04T00:51:50,29.46,Aman,YA,Mobil lambat kena speedbump
2025-06-04T00:51:51,30.17,Terlalu Cepat,YA,Normal
2025-06-04T00:51:52,30.32,Terlalu Cepat,YA,Normal
2025-06-04T00:51:52,30.66,Terlalu Cepat,YA,Normal
2025-06-04T00:51:53,29.94,Aman,YA,Mobil lambat kena speedbump
2025-06-04T00:51:53,29.17,Aman,YA,Mobil lambat kena speedbump
2025-06-04T00:51:53,30.44,Terlalu Cepat,YA,Normal
2025-06-04T00:51:53,30.44,Terlalu Cepat,YA,Normal
2025-06-04T00:51:54,30.17,Terlalu Cepat,YA,Normal
2025-06-04T00:51:55,30.35,Terlalu Cepat,YA,Normal
2025-06-04T00:51:55,30.35,Terlalu Cepat,YA,Normal
2025-06-04T00:51:56,30.79,Terlalu Cepat,YA,Normal
2025-06-04T00:51:57,31.65,Terlalu Cepat,YA,Normal
2025-06-04T00:51:58,30.53,Terlalu Cepat,YA,Normal
2025-06-04T00:51:58,30.83,Terlalu Cepat,YA,Normal
2025-06-04T00:51:59,29.13,Aman,YA,Mobil lambat kena speedbump
2025-06-04T00:51:59,30.63,Terlalu Cepat,YA,Normal
2025-06-04T00:52:00,29.6,Aman,TIDAK,Normal
2025-06-04T00:52:01,29.47,Aman,TIDAK,Normal
2025-06-04T00:52:01,29.94,Aman,TIDAK,Normal
2025-06-04T00:52:01,30.32,Terlalu Cepat,TIDAK,Mobil cepat lolos
2025-06-04T00:52:02,30.0,Aman,TIDAK,Normal
2025-06-04T00:52:03,30.11,Terlalu Cepat,TIDAK,Mobil cepat lolos
2025-06-04T00:52:03,30.41,Terlalu Cepat,TIDAK,Mobil cepat lolos
2025-06-04T00:52:03,28.09,Aman,YA,Mobil lambat kena speedbump
2025-06-04T00:52:04,30.52,Terlalu Cepat,YA,Normal
2025-06-04T00:52:05,31.7,Terlalu Cepat,YA,Normal
2025-06-04T00:52:05,30.02,Terlalu Cepat,YA,Normal
2025-06-04T00:52:06,31.23,Terlalu Cepat,YA,Normal
2025-06-04T00:52:06,30.26,Terlalu Cepat,YA,Normal
2025-06-04T00:52:07,30.58,Terlalu Cepat,YA,Normal
2025-06-04T00:52:07,29.59,Aman,YA,Mobil lambat kena speedbump
2025-06-04T00:52:08,29.94,Aman,YA,Mobil lambat kena speedbump
2025-06-04T00:52:09,30.0,Aman,TIDAK,Normal
2025-06-04T00:52:10,30.8,Terlalu Cepat,TIDAK,Mobil cepat lolos
2025-06-04T00:52:10,28.46,Aman,TIDAK,Normal
2025-06-04T00:52:11,28.16,Aman,TIDAK,Normal
2025-06-04T00:52:11,29.34,Aman,TIDAK,Normal
2025-06-04T00:52:12,29.7,Aman,YA,Mobil lambat kena speedbump
2025-06-04T00:52:12,29.66,Aman,YA,Mobil lambat kena speedbump
2025-06-04T00:52:12,29.6,Aman,YA,Mobil lambat kena speedbump
2025-06-04T00:52:12,31.2,Terlalu Cepat,YA,Normal
2025-06-04T00:52:13,30.52,Terlalu Cepat,YA,Normal
2025-06-04T00:52:14,31.91,Terlalu Cepat,YA,Normal
2025-06-04T00:52:16,30.11,Terlalu Cepat,YA,Normal
2025-06-04T00:52:16,30.11,Terlalu Cepat,YA,Normal
2025-06-04T00:52:16,29.5,Aman,YA,Mobil lambat kena speedbump
2025-06-04T00:52:16,31.1,Terlalu Cepat,YA,Normal
2025-06-04T00:52:18,30.36,Terlalu Cepat,YA,Normal
2025-06-04T00:52:18,30.12,Terlalu Cepat,YA,Normal
2025-06-04T00:52:18,31.15,Terlalu Cepat,YA,Normal
2025-06-04T00:52:19,30.09,Terlalu Cepat,TIDAK,Mobil cepat lolos
2025-06-04T00:52:20,31.6,Terlalu Cepat,TIDAK,Mobil cepat lolos
2025-06-04T00:52:20,30.0,Aman,TIDAK,Normal
2025-06-04T00:52:20,30.64,Terlalu Cepat,TIDAK,Mobil cepat lolos
2025-06-04T00:52:21,30.09,Terlalu Cepat,TIDAK,Mobil cepat lolos
2025-06-04T00:52:21,31.61,Terlalu Cepat,TIDAK,Mobil cepat lolos
2025-06-04T00:52:21,30.02,Terlalu Cepat,TIDAK,Mobil cepat lolos
2025-06-04T00:52:21,28.57,Aman,TIDAK,Normal
2025-06-04T00:52:23,29.63,Aman,TIDAK,Normal
2025-06-04T00:52:24,29.5,Aman,TIDAK,Normal
2025-06-04T00:52:25,29.53,Aman,TIDAK,Normal
2025-06-04T00:52:25,29.46,Aman,TIDAK,Normal
2025-06-04T00:52:26,29.15,Aman,TIDAK,Normal
2025-06-04T00:52:26,28.75,Aman,TIDAK,Normal
2025-06-04T00:52:27,30.02,Terlalu Cepat,TIDAK,Mobil cepat lolos
2025-06-04T00:52:28,31.28,Terlalu Cepat,TIDAK,Mobil cepat lolos
2025-06-04T00:52:28,29.44,Aman,TIDAK,Normal
2025-06-04T00:52:28,29.27,Aman,YA,Mobil lambat kena speedbump
2025-06-04T00:52:29,28.56,Aman,YA,Mobil lambat kena speedbump
2025-06-04T00:52:30,29.2,Aman,YA,Mobil lambat kena speedbump
2025-06-04T00:52:30,31.09,Terlalu Cepat,YA,Normal
2025-06-04T00:52:30,30.06,Terlalu Cepat,YA,Normal
2025-06-04T00:52:31,31.9,Terlalu Cepat,YA,Normal
2025-06-04T00:52:31,29.17,Aman,YA,Mobil lambat kena speedbump
2025-06-04T00:52:32,28.8,Aman,TIDAK,Normal
2025-06-04T00:52:32,29.72,Aman,TIDAK,Normal
2025-06-04T00:52:33,30.03,Terlalu Cepat,TIDAK,Mobil cepat lolos
2025-06-04T00:52:34,28.86,Aman,TIDAK,Normal
2025-06-04T00:52:35,30.43,Terlalu Cepat,YA,Normal
2025-06-04T00:52:35,30.43,Terlalu Cepat,YA,Normal
2025-06-04T00:52:35,28.59,Aman,YA,Mobil lambat kena speedbump
2025-06-04T00:52:36,30.33,Terlalu Cepat,YA,Normal
2025-06-04T00:52:36,30.46,Terlalu Cepat,YA,Normal
2025-06-04T00:52:37,29.43,Aman,TIDAK,Normal
2025-06-04T00:52:38,29.91,Aman,TIDAK,Normal
