waktu,kecepatan,status,kena_speedbump,catatan
2025-06-04T01:04:10,30.5,Terlalu Cepat,YA,Normal
2025-06-04T01:04:10,31.36,Terlalu Cepat,YA,Normal
2025-06-04T01:04:11,30.67,Terlalu Cepat,YA,Normal
2025-06-04T01:04:11,32.88,Terlalu Cepat,YA,Normal
2025-06-04T01:04:12,32.33,Terlalu Cepat,YA,Normal
2025-06-04T01:04:12,34.29,Terlalu Cepat,YA,Normal
2025-06-04T01:04:13,26.65,Aman,YA,Mobil lambat kena speedbump
2025-06-04T01:04:13,27.84,Aman,YA,Mobil lambat kena speedbump
2025-06-04T01:04:14,30.15,Terlalu Cepat,YA,Normal
2025-06-04T01:04:15,29.94,Aman,YA,Mobil lambat kena speedbump
2025-06-04T01:04:15,31.5,Terlalu Cepat,YA,Normal
2025-06-04T01:04:15,24.9,Aman,YA,Mobil lambat kena speedbump
2025-06-04T01:04:16,28.45,Aman,YA,Mobil lambat kena speedbump
2025-06-04T01:04:16,31.1,Terlalu Cepat,YA,Normal
2025-06-04T01:04:17,30.46,Terlalu Cepat,YA,Normal
2025-06-04T01:04:17,33.58,Terlalu Cepat,YA,Normal
2025-06-04T01:04:18,27.93,Aman,YA,Mobil lambat kena speedbump
2025-06-04T01:04:19,31.46,Terlalu Cepat,TIDAK,Mobil cepat lolos
2025-06-04T01:04:20,28.61,Aman,TIDAK,Normal
2025-06-04T01:04:21,30.27,Terlalu Cepat,TIDAK,Mobil cepat lolos
2025-06-04T01:04:22,33.76,Terlalu Cepat,YA,Normal
2025-06-04T01:04:23,28.44,Aman,YA,Mobil lambat kena speedbump
2025-06-04T01:04:23,25.97,Aman,YA,Mobil lambat kena speedbump
2025-06-04T01:04:23,36.54,Terlalu Cepat,YA,Normal
2025-06-04T01:04:23,32.57,Terlalu Cepat,YA,Normal
2025-06-04T01:04:24,22.9,Aman,YA,Mobil lambat kena speedbump
2025-06-04T01:04:24,30.83,Terlalu Cepat,YA,Normal
2025-06-04T01:04:24,27.92,Aman,YA,Mobil lambat kena speedbump
2025-06-04T01:04:24,30.83,Terlalu Cepat,YA,Normal
2025-06-04T01:04:24,30.18,Terlalu Cepat,YA,Normal
